MODEL,PRICE,KM,MFG YEAR,VEHICLE COLOR,FUEL TYPE,VEHICLE TYPE
CITY 4TH GENERATION SV MT,915000,65000,2018,REDIANT RED METALLIC,PETROL,MANUAL
CITY 4TH GENERATION SV MT,750000,72000,2015,WHITE ORCHID PEARL,PETROL,MANUAL
CITY 4TH GENERATION SV MT,925000,25000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
CITY 4TH GENERATION SV MT,815000,69000,2016,GOLDEN BROWN METALLIC,PETROL,MANUAL
CITY 4TH GENERATION SV MT,854000,49000,2017,LUNAR SILVER,PETROL,MANUAL
CITY 4TH GENERATION V MT,1035000,28000,2020,REDIANT RED METALLIC,PETROL,MANUAL
CITY 4TH GENERATION V MT,985000,67000,2018,WHITE ORCHID PEARL,PETROL,MANUAL
CITY 4TH GENERATION V MT,1020000,26000,2019,MODERN STEEL METALLIC,PETROL,MANUAL
CITY 4TH GENERATION V MT,935000,52000,2017,GOLDEN BROWN METALLIC,PETROL,MANUAL
CITY 4TH GENERATION V MT,835000,65000,2015,LUNAR SILVER,PETROL,MANUAL
CITY V MT,1125000,45000,2019,PLATINUM WHITE PEARL,PETROL,MANUAL
CITY V MT,925000,67000,2016,REDIANT RED METALLIC,PETROL,MANUAL
CITY V MT,955000,51000,2015,LUNAR SILVER METALLIC,PETROL,MANUAL
CITY V MT,1190000,21000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
CITY V MT,975000,62000,2015,GOLDEN BROWN METALLIC,PETROL,MANUAL
CITY V CVT,1255000,49000,2017,PLATINUM WHITE PEARL,PETROL,AMT
CITY V CVT,1225000,65000,2016,REDIANT RED METALLIC,PETROL,AMT
CITY V CVT,1275000,48000,2018,LUNAR SILVER METALLIC,PETROL,AMT
CITY V CVT,1328000,36000,2019,MODERN STEEL METALLIC,PETROL,AMT
CITY V CVT,1375000,25000,2020,GOLDEN BROWN METALLIC,PETROL,AMT
CITY VX MT,945000,65000,2015,PLATINUM WHITE PEARL,PETROL,MANUAL
CITY VX MT,1358000,32000,2020,REDIANT RED METALLIC,PETROL,MANUAL
CITY VX MT,975000,61000,2016,LUNAR SILVER METALLIC,PETROL,MANUAL
CITY VX MT,1325000,42000,2019,MODERN STEEL METALLIC,PETROL,MANUAL
CITY VX MT,1245000,52000,2018,GOLDEN BROWN METALLIC,PETROL,MANUAL
CITY V MT DIESEL,1360000,33000,2020,PLATINUM WHITE PEARL,DIESEL,MANUAL
CITY V MT DIESEL,985000,64000,2016,REDIANT RED METALLIC,DIESEL,MANUAL
CITY V MT DIESEL,1225000,52000,2017,LUNAR SILVER METALLIC,DIESEL,MANUAL
CITY V MT DIESEL,1275000,43000,2018,MODERN STEEL METALLIC,DIESEL,MANUAL
CITY V MT DIESEL,1345000,39000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
CITY ZX MT,1145000,71000,2015,PLATINUM WHITE PEARL,PETROL,MANUAL
CITY ZX MT,1425000,48000,2019,REDIANT RED METALLIC,PETROL,MANUAL
CITY ZX MT,1485000,25000,2020,LUNAR SILVER METALLIC,PETROL,MANUAL
CITY ZX MT,1175000,63000,2016,MODERN STEEL METALLIC,PETROL,MANUAL
CITY ZX MT,1345000,49000,2018,GOLDEN BROWN METALLIC,PETROL,MANUAL
CITY VX CVT,1245000,58000,2017,PLATINUM WHITE PEARL,PETROL,AMT
CITY VX CVT,1510000,21000,2020,REDIANT RED METALLIC,PETROL,AMT
CITY VX CVT,1375000,61000,2019,LUNAR SILVER METALLIC,PETROL,AMT
CITY VX CVT,1345000,64000,2018,MODERN STEEL METALLIC,PETROL,AMT
CITY VX CVT,1185000,72000,2015,GOLDEN BROWN METALLIC,PETROL,AMT
CITY VX MT DIESEL,1425000,53000,2019,PLATINUM WHITE PEARL,DIESEL,MANUAL
CITY VX MT DIESEL,1315000,67000,2017,REDIANT RED METALLIC,DIESEL,MANUAL
CITY VX MT DIESEL,1555000,21000,2020,LUNAR SILVER METALLIC,DIESEL,MANUAL
CITY VX MT DIESEL,1275000,69000,2016,MODERN STEEL METALLIC,DIESEL,MANUAL
CITY VX MT DIESEL,1410000,56000,2018,GOLDEN BROWN METALLIC,DIESEL,MANUAL
CITY ZX CVT,1485000,54000,2019,PLATINUM WHITE PEARL,PETROL,AMT
CITY ZX CVT,1595000,23000,2020,REDIANT RED METALLIC,PETROL,AMT
CITY ZX CVT,1465000,64000,2017,LUNAR SILVER METALLIC,PETROL,AMT
CITY ZX CVT,1350000,57000,2018,MODERN STEEL METALLIC,PETROL,AMT
CITY ZX CVT,1285000,71000,2016,GOLDEN BROWN METALLIC,PETROL,AMT
CITY ZX MT DIESEL,1425000,62000,2017,PLATINUM WHITE PEARL,DIESEL,MANUAL
CITY ZX MT DIESEL,1575000,49000,2019,REDIANT RED METALLIC,DIESEL,MANUAL
CITY ZX MT DIESEL,1375000,68000,2016,LUNAR SILVER METALLIC,DIESEL,MANUAL
CITY ZX MT DIESEL,1325000,72000,2015,MODERN STEEL METALLIC,DIESEL,MANUAL
CITY ZX MT DIESEL,1625000,26000,2020,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE E PETROL,425000,65000,2016,SILVER,PETROL,MANUAL
AMAZE E PETROL,535000,42000,2019,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE E PETROL,475000,61000,2017,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE E PETROL,375000,71000,2015,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE E PETROL,515000,45000,2018,RADIANT RED,PETROL,MANUAL
AMAZE E PETROL,620000,22000,2020,LUNAR SILVER,PETROL,MANUAL
AMAZE S PETROL,475000,65000,2016,SILVER,PETROL,MANUAL
AMAZE S PETROL,675000,49000,2019,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE S PETROL,425000,70000,2015,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE S PETROL,710000,35000,2020,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE S PETROL,625000,62000,2017,RADIANT RED,PETROL,MANUAL
AMAZE S PETROL,650000,55000,2018,LUNAR SILVER,PETROL,MANUAL
AMAZE SPECIAL EDITION,485000,64000,2016,SILVER,PETROL,MANUAL
AMAZE SPECIAL EDITION,665000,52000,2018,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE SPECIAL EDITION,445000,72000,2015,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE SPECIAL EDITION,710000,48000,2019,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE SPECIAL EDITION,745000,35000,2020,RADIANT RED,PETROL,MANUAL
AMAZE SPECIAL EDITION,645000,62000,2017,LUNAR SILVER,PETROL,MANUAL
AMAZE V PETROL,465000,75000,2015,SILVER,PETROL,MANUAL
AMAZE V PETROL,665000,68000,2017,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE V PETROL,510000,72000,2016,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE V PETROL,735000,49000,2019,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE V PETROL,775000,32000,2020,RADIANT RED,PETROL,MANUAL
AMAZE V PETROL,685000,55000,2018,LUNAR SILVER,PETROL,MANUAL
AMAZE E DIESEL,475000,74000,2015,SILVER,DIESEL,MANUAL
AMAZE E DIESEL,710000,56000,2018,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE E DIESEL,745000,50000,2019,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE E DIESEL,675000,67000,2017,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE E DIESEL,800000,31000,2020,RADIANT RED,DIESEL,MANUAL
AMAZE E DIESEL,525000,73000,2016,LUNAR SILVER,DIESEL,MANUAL
AMAZE S CVT PETROL,700000,68000,2017,SILVER,PETROL,AMT
AMAZE S CVT PETROL,525000,75000,2015,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE S CVT PETROL,615000,72000,2016,MODERN STEEL METALLIC,PETROL,AMT
AMAZE S CVT PETROL,720000,57000,2018,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE S CVT PETROL,845000,33000,2020,RADIANT RED,PETROL,AMT
AMAZE S CVT PETROL,775000,49000,2019,LUNAR SILVER,PETROL,AMT
AMAZE SPECIAL EDITION CVT,635000,65000,2016,SILVER,PETROL,AMT
AMAZE SPECIAL EDITION CVT,725000,63000,2017,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE SPECIAL EDITION CVT,545000,71000,2015,MODERN STEEL METALLIC,PETROL,AMT
AMAZE SPECIAL EDITION CVT,865000,21000,2020,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE SPECIAL EDITION CVT,740000,54000,2018,RADIANT RED,PETROL,AMT
AMAZE SPECIAL EDITION CVT,825000,48000,2019,LUNAR SILVER,PETROL,AMT
AMAZE EXCLUSIVE EDITION PETROL,845000,58000,2019,SILVER,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL,735000,69000,2017,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL,875000,35000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL,755000,69000,2018,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL,645000,78000,2016,RADIANT RED,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL,585000,82000,2015,LUNAR SILVER,PETROL,MANUAL
AMAZE VX PETROL,855000,33000,2020,SILVER,PETROL,MANUAL
AMAZE VX PETROL,845000,51000,2019,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE VX PETROL,523000,81000,2015,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE VX PETROL,576000,72000,2016,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE VX PETROL,645000,61000,2017,RADIANT RED,PETROL,MANUAL
AMAZE VX PETROL,725000,57000,2018,LUNAR SILVER,PETROL,MANUAL
AMAZE S DIESEL,815000,50000,2018,SILVER,DIESEL,MANUAL
AMAZE S DIESEL,765000,63000,2017,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE S DIESEL,885000,35000,2020,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE S DIESEL,845000,47000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE S DIESEL,645000,68000,2016,RADIANT RED,DIESEL,MANUAL
AMAZE S DIESEL,548000,69000,2015,LUNAR SILVER,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL,915000,31000,2020,SILVER,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL,785000,52000,2018,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL,615000,67000,2016,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL,655000,65000,2017,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL,875000,44000,2019,RADIANT RED,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL,594000,72000,2015,LUNAR SILVER,DIESEL,MANUAL
AMAZE V CVT PETROL,790000,47000,2018,SILVER,PETROL,AMT
AMAZE V CVT PETROL,925000,25000,2020,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE V CVT PETROL,880000,43000,2019,MODERN STEEL METALLIC,PETROL,AMT
AMAZE V CVT PETROL,685000,52000,2017,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE V CVT PETROL,625000,59000,2016,RADIANT RED,PETROL,AMT
AMAZE V CVT PETROL,545000,61000,2015,LUNAR SILVER,PETROL,AMT
AMAZE V DIESEL,915000,35000,2020,SILVER,DIESEL,MANUAL
AMAZE V DIESEL,875000,49000,2019,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE V DIESEL,675000,64000,2016,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE V DIESEL,625000,68000,2015,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE V DIESEL,745000,50000,2017,RADIANT RED,DIESEL,MANUAL
AMAZE V DIESEL,845000,49000,2018,LUNAR SILVER,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION CVT PETROL,955000,27000,2020,SILVER,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL,775000,61000,2017,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL,715000,68000,2016,MODERN STEEL METALLIC,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL,935000,41000,2019,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL,875000,53000,2018,RADIANT RED,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL,675000,73000,2015,LUNAR SILVER,PETROL,AMT
AMAZE VX CVT PETROL,785000,60000,2017,SILVER,PETROL,AMT
AMAZE VX CVT PETROL,725000,61000,2016,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE VX CVT PETROL,975000,34000,2020,MODERN STEEL METALLIC,PETROL,AMT
AMAZE VX CVT PETROL,685000,68000,2015,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE VX CVT PETROL,925000,58000,2018,RADIANT RED,PETROL,AMT
AMAZE VX CVT PETROL,955000,47000,2019,LUNAR SILVER,PETROL,AMT
AMAZE S CVT DIESEL,790000,52000,2017,SILVER,DIESEL,AMT
AMAZE S CVT DIESEL,985000,32000,2020,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE S CVT DIESEL,690000,71000,2015,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE S CVT DIESEL,935000,49000,2018,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE S CVT DIESEL,745000,65000,2016,RADIANT RED,DIESEL,AMT
AMAZE S CVT DIESEL,965000,43000,2019,LUNAR SILVER,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL,1030000,23000,2020,SILVER,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL,945000,45000,2019,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL,845000,62000,2017,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL,755000,65000,2016,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL,715000,69000,2015,RADIANT RED,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL,915000,53000,2018,LUNAR SILVER,DIESEL,AMT
AMAZE EXCLUSIVE EDITION DIESEL,1050000,37000,2020,SILVER,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL,955000,45000,2019,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL,845000,65000,2017,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL,1056000,32000,2020,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL,775000,71000,2016,RADIANT RED,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL,925000,53000,2018,LUNAR SILVER,DIESEL,MANUAL
AMAZE VX DIESEL,985000,35000,2020,SILVER,DIESEL,MANUAL
AMAZE VX DIESEL,835000,60000,2017,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE VX DIESEL,715000,69000,2015,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE VX DIESEL,745000,64000,2016,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE VX DIESEL,935000,49000,2019,RADIANT RED,DIESEL,MANUAL
AMAZE VX DIESEL,910000,55000,2018,LUNAR SILVER,DIESEL,MANUAL
AMAZE V CVT DIESEL,765000,59000,2016,SILVER,DIESEL,AMT
AMAZE V CVT DIESEL,720000,64000,2015,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE V CVT DIESEL,835000,54000,2017,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE V CVT DIESEL,1035000,32000,2020,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE V CVT DIESEL,945000,47000,2019,RADIANT RED,DIESEL,AMT
AMAZE V CVT DIESEL,920000,52000,2018,LUNAR SILVER,DIESEL,AMT
AMAZE V CVT DIESEL,1045000,25000,2020,SILVER,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL,725000,67000,2016,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL,1085000,31000,2020,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL,775000,65000,2017,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL,1050000,45000,2019,RADIANT RED,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL,945000,57000,2018,LUNAR SILVER,DIESEL,AMT
AMAZE VX CVT DIESEL,775000,58000,2016,SILVER,DIESEL,AMT
AMAZE VX CVT DIESEL,725000,74000,2015,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE VX CVT DIESEL,845000,67000,2017,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE VX CVT DIESEL,925000,24000,2019,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE VX CVT DIESEL,1045000,41000,2020,RADIANT RED,DIESEL,AMT
AMAZE VX CVT DIESEL,875000,52000,2018,LUNAR SILVER,DIESEL,AMT
CIVIC V,2125000,31000,2020,PLATINUM WHITE PEARL,PETROL,AMT
CIVIC V,1775000,62000,2017,MODERN STEEL METALLIC,PETROL,AMT
CIVIC V,2015000,51000,2019,GOLDEN BROWN METALLIC,PETROL,AMT
CIVIC V,1845000,49000,2018,RADIANT RED METALLIC,PETROL,AMT
CIVIC V,1725000,65000,2016,LUNAR SILVER,PETROL,AMT
CIVIC VX ,2285000,33000,2020,PLATINUM WHITE PEARL,PETROL,AMT
CIVIC VX ,2025000,68000,2017,MODERN STEEL METALLIC,PETROL,AMT
CIVIC VX ,1975000,73000,2016,GOLDEN BROWN METALLIC,PETROL,AMT
CIVIC VX ,2145000,52000,2018,RADIANT RED METALLIC,PETROL,AMT
CIVIC VX ,2215000,48000,2019,LUNAR SILVER,PETROL,AMT
 CIVIC VX DIESEL,2115000,75000,2015,PLATINUM WHITE PEARL,DIESEL,MANUAL
CIVIC VX DIESEL,2375000,65000,2016,MODERN STEEL METALLIC,DIESEL,MANUAL
CIVIC VX DIESEL,2455000,51000,2018,GOLDEN BROWN METALLIC,DIESEL,MANUAL
CIVIC VX DIESEL,2415000,61000,2017,RADIANT RED METALLIC,DIESEL,MANUAL
CIVIC VX DIESEL,2575000,21000,2020,LUNAR SILVER,DIESEL,MANUAL
CIVIC ZX,2545000,46000,2019,PLATINUM WHITE PEARL,PETROL,AMT
CIVIC ZX,2585000,34000,2020,MODERN STEEL METALLIC,PETROL,AMT
CIVIC ZX,2425000,47000,2017,GOLDEN BROWN METALLIC,PETROL,AMT
CIVIC ZX,2545000,38000,2019,RADIANT RED METALLIC,PETROL,AMT
CIVIC ZX,2475000,41000,2018,LUNAR SILVER,PETROL,AMT
CIVIC ZX DIESEL,2723000,35000,2020,PLATINUM WHITE PEARL,DIESEL,MANUAL
CIVIC ZX DIESEL,2575000,58000,2018,MODERN STEEL METALLIC,DIESEL,MANUAL
CIVIC ZX DIESEL,2545000,61000,2017,GOLDEN BROWN METALLIC,DIESEL,MANUAL
CIVIC ZX DIESEL,2415000,65000,2016,RADIANT RED METALLIC,DIESEL,MANUAL
CIVIC ZX DIESEL,2675000,42000,2019,LUNAR SILVER,DIESEL,MANUAL
WR-V SV,575000,76000,2016,REDIANT RED METALLIC,PETROL,MANUAL
WR-V SV,845000,57000,2019,WHITE ORCHID PEARL,PETROL,MANUAL
WR-V SV,615000,68000,2017,MODERN STEEL METALLIC,PETROL,MANUAL
WR-V SV,725000,56000,2018,GOLDEN BROWN METALLIC,PETROL,MANUAL
WR-V SV,875000,38000,2020,PREMIUM AMBER,PETROL,MANUAL
WR-V SV,855000,45000,2019,LUNAR SILVER,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL,775000,71000,2016,REDIANT RED METALLIC,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL,845000,64000,2018,WHITE ORCHID PEARL,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL,825000,61000,2017,MODERN STEEL METALLIC,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL,925000,58000,2019,GOLDEN BROWN METALLIC,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL,1015000,39000,2020,PREMIUM AMBER,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL,815000,69000,2017,LUNAR SILVER,PETROL,MANUAL
WR-V VX,920000,65000,2018,REDIANT RED METALLIC,PETROL,MANUAL
WR-V VX,1052000,45000,2020,WHITE ORCHID PEARL,PETROL,MANUAL
WR-V VX,935000,49000,2019,MODERN STEEL METALLIC,PETROL,MANUAL
WR-V VX,745000,74000,2016,GOLDEN BROWN METALLIC,PETROL,MANUAL
WR-V VX,785000,55000,2017,PREMIUM AMBER,PETROL,MANUAL
WR-V VX,925000,60000,2018,LUNAR SILVER,PETROL,MANUAL
WR-V SV DIESEL,1065000,44000,2020,REDIANT RED METALLIC,DIESEL,MANUAL
WR-V SV DIESEL,945000,52000,2019,WHITE ORCHID PEARL,DIESEL,MANUAL
WR-V SV DIESEL,790000,65000,2017,MODERN STEEL METALLIC,DIESEL,MANUAL
